date,price
1421366400,1.29
1421452800,1.27
1421539200,1.22
1421625600,1.31
1421712000,1.36
1421798400,1.43
1421884800,1.6
1421971200,1.63
1422057600,1.6
1422144000,1.74
1422230400,1.81
1422316800,1.87
1422403200,1.82
1422489600,1.64
1422576000,1.64
1422662400,1.64
1422748800,1.61
1422835200,1.88
1422921600,1.93
1423008000,1.78
1423094400,1.83
1423180800,1.77
1423267200,1.8
1423353600,1.86
1423440000,1.84
1423526400,2.16
1423612800,2.48
1423699200,3.2
1423785600,2.82
1423872000,2.92
1423958400,2.89
1424044800,2.77
1424131200,2.76
1424217600,2.64
1424304000,2.8
1424390400,2.83
1424476800,2.74
1424563200,2.78
1424649600,2.55
1424736000,2.53
1424822400,2.94
1424908800,2.77
1424995200,2.73
1425081600,3.03
1425168000,3.24
1425254400,3.33
1425340800,3.63
1425427200,3.45
1425513600,3.5
1425600000,3.41
1425686400,3.34
1425772800,3.43
1425859200,3.39
1425945600,3.54
1426032000,3.05
1426118400,3.13
1426204800,3.08
1426291200,2.9
1426377600,2.92
1426464000,3.13
1426550400,3.31
1426636800,3.27
1426723200,3.11
1426809600,3.35
1426896000,3.69
1426982400,4.64
1427068800,4.61
1427155200,4.98
1427241600,5.08
1427328000,5.28
1427414400,4.99
1427500800,4.75
1427587200,5.03
1427673600,4.6
1427760000,4.34
1427846400,4.02
1427932800,3.82
1428019200,4.52
1428105600,4.36
1428192000,4.12
1428278400,4.17
1428364800,4.09
1428451200,3.77
1428537600,3.68
1428624000,3.42
1428710400,3.24
1428796800,3.34
1428883200,3.31
1428969600,3.19
1429056000,3.1
1429142400,3.02
1429228800,3.01
1429315200,2.83
1429401600,2.93
1429488000,2.8
1429574400,2.65
1429660800,2.89
1429747200,3.25
1429833600,3.63
1429920000,3.19
1430006400,3.1
1430092800,3.05
1430179200,2.99
1430265600,3.02
1430352000,2.97
1430438400,2.97
1430524800,2.74
1430611200,2.75
1430697600,2.71
1430784000,2.88
1430870400,2.85
1430956800,2.82
1431043200,2.81
1431129600,2.77
1431216000,2.76
1431302400,2.68
1431388800,2.77
1431475200,2.72
1431561600,2.69
1431648000,2.84
1431734400,2.88
1431820800,3.0
1431907200,2.93
1431993600,2.86
1432080000,2.89
1432166400,2.88
1432252800,2.84
1432339200,2.91
1432425600,2.87
1432512000,2.9
1432598400,2.82
1432684800,2.67
1432771200,2.63
1432857600,2.74
1432944000,2.82
1433030400,2.71
1433116800,2.76
1433203200,2.66
1433289600,2.8
1433376000,2.76
1433462400,2.8
1433548800,2.82
1433635200,2.82
1433721600,2.8
1433808000,2.83
1433894400,2.76
1433980800,2.7
1434067200,2.78
1434153600,2.8
1434240000,2.8
1434326400,2.81
1434412800,2.74
1434499200,2.99
1434585600,3.01
1434672000,2.96
1434758400,2.9
1434844800,2.87
1434931200,2.84
1435017600,2.89
1435104000,2.85
1435190400,2.81
1435276800,2.83
1435363200,2.82
1435449600,2.79
1435536000,2.73
1435622400,2.79
1435708800,2.86
1435795200,2.8
1435881600,2.92
1435968000,2.96
1436054400,3.09
1436140800,3.1
1436227200,3.09
1436313600,2.96
1436400000,2.99
1436486400,3.11
1436572800,4.07
1436659200,3.84
1436745600,4.1
1436832000,3.75
1436918400,3.71
1437004800,3.64
1437091200,3.54
1437177600,3.76
1437264000,3.71
1437350400,3.62
1437436800,3.7
1437523200,3.6
1437609600,3.63
1437696000,3.59
1437782400,3.69
